horizon,maturity,pctile,yield_pct
1,0.25,5,2.7448313733313663
1,0.5,5,2.7068876710994414
1,1.0,5,2.6476583412747074
1,2.0,5,2.723697851382459
1,3.0,5,2.8981958464667863
1,5.0,5,3.2517246396144572
1,7.0,5,3.494436811579291
1,10.0,5,3.6881925768579515
1,20.0,5,3.894349612167391
1,30.0,5,3.9566664264101323
1,0.25,25,3.5284262489178744
1,0.5,25,3.5249854318808653
1,1.0,25,3.5415261910633653
1,2.0,25,3.658923265491652
1,3.0,25,3.821803080086439
1,5.0,25,4.1031720933286095
1,7.0,25,4.292674355769589
1,10.0,25,4.449421991755793
1,20.0,25,4.633473687063041
1,30.0,25,4.6922051431221234
1,0.25,50,4.081535605066259
1,0.5,50,4.098437269070222
1,1.0,50,4.1593441341341775
1,2.0,50,4.314072595685312
1,3.0,50,4.465637542465386
1,5.0,50,4.700302135025771
1,7.0,50,4.854692974164916
1,10.0,50,4.984086537843121
1,20.0,50,5.154429346727026
1,30.0,50,5.210939966380335
1,0.25,75,4.621097204250048
1,0.5,75,4.672160141230321
1,1.0,75,4.778605456535891
1,2.0,75,4.967656402645025
1,3.0,75,5.105327187348703
1,5.0,75,5.2994269432426915
1,7.0,75,5.415992682646573
1,10.0,75,5.522968919106382
1,20.0,75,5.670168481279112
1,30.0,75,5.726053123730043
1,0.25,95,5.422166952607929
1,0.5,95,5.511369383267489
1,1.0,95,5.66840742899638
1,2.0,95,5.898984385700923
1,3.0,95,6.019916690407188
1,5.0,95,6.144700795299617
1,7.0,95,6.212154008889762
1,10.0,95,6.29023997110577
1,20.0,95,6.410717040659342
1,30.0,95,6.46414298951755
3,0.25,5,0.8974715788203956
3,0.5,5,0.8827009713233361
3,1.0,5,0.8986504470852295
3,2.0,5,1.130463978206797
3,3.0,5,1.4640438144446215
3,5.0,5,2.0525297944047076
3,7.0,5,2.4369018666096633
3,10.0,5,2.7541068596850584
3,20.0,5,3.099219570914433
3,30.0,5,3.1954305321267986
