horizon,n,bond_mean,bond_std,bill_mean,bill_std,excess_mean,excess_std,sharpe_excess,sharpe_bond_rf,bond_min,bond_p25,bond_med,bond_p75,bond_max,bill_min,bill_med,bill_max,prob_bond_beats_bill
1,36,0.06378777032616997,0.15102649888208794,0.028097188039437553,0.023466306208434873,0.03569058228673242,0.1504485247936441,0.23722786471775506,0.23632000046956925,-0.30052084167165183,-0.006100977405054935,0.06087892765789659,0.1672928962303631,0.34760706718149825,0.00023865575828896368,0.025504251236979192,0.080664184498346,0.6111111111111112
3,34,0.061627963289359,0.07000398325150446,0.02616977347517997,0.020070243819042977,0.03545818981417904,0.06997238671087938,0.5067454674754714,0.5065167461512556,-0.14446758683913305,0.04227580028192457,0.07395294636174352,0.09749204520601004,0.16137442062170312,0.00044464828077028784,0.021566972576033905,0.058060074342869195,0.8529411764705882
5,32,0.06361772259126575,0.050461694848736464,0.024938620601909205,0.01808233978049228,0.03867910198935655,0.049227975239365576,0.785713850737994,0.766504218800036,-0.09431009549939431,0.04657180817226045,0.07659331389185692,0.09284163126535183,0.12688389482311677,0.00039349434569935227,0.023971647948587416,0.053601171290778016,0.84375
10,27,0.06836666128178964,0.02772069289241061,0.023294583672465174,0.01602821343477944,0.04507207760932446,0.023275633010928883,1.9364490576115045,1.6259361836393464,0.0002761384046138644,0.0651464719436089,0.07609200040709611,0.08590480703583946,0.10618935418692903,0.0029245237070303354,0.017880536720568774,0.05124149158312852,0.9259259259259259
