horizon,remaining_maturity,bond_mean,bond_std,bond_p5,bond_p25,bond_median,bond_p75,bond_p95,bill_mean,bill_std,bill_median,excess_mean,sharpe_forward,prob_bond_beats_bill,prob_bond_negative
1,29,0.07238757469638026,0.11799794995186222,-0.10413625855858619,-0.011591607611797443,0.06238223907839217,0.14569264876924248,0.2817407376901417,0.041685168517889046,0.004426149084348492,0.041672610798174414,0.030702406178491213,0.2570981589988993,0.57295,0.286
3,27,0.06722523338753109,0.053708167968551664,-0.014609432632772291,0.029451953885390205,0.06363041103888664,0.10096179425966427,0.16222119601634147,0.03965190875334543,0.008874666189485396,0.039701508463546475,0.02757332463418565,0.47098001195257194,0.66675,0.09645
5,25,0.06667543950131036,0.03488252535632303,0.013260497627748433,0.042135001461934524,0.0641414797739753,0.08897531267798617,0.1274711284947827,0.037106098731000556,0.011167888896111207,0.037080485512909545,0.029569340770309805,0.6985866783602913,0.75105,0.01595
10,20,0.06304984195086041,0.015253069870326404,0.039147191732229615,0.05250894221810656,0.062249042438640434,0.072907473465577,0.08940827958975275,0.032713854669434064,0.012189763293435555,0.0326961886341991,0.030335987281426356,1.2425238701394876,0.89385,0.0
