Date,"4 WEEKS BANK DISCOUNT","4 WEEKS COUPON EQUIVALENT","13 WEEKS BANK DISCOUNT","13 WEEKS COUPON EQUIVALENT","26 WEEKS BANK DISCOUNT","26 WEEKS COUPON EQUIVALENT","52 WEEKS BANK DISCOUNT","52 WEEKS COUPON EQUIVALENT"
12/31/2013,0.01,0.01,0.07,0.07,0.10,0.10,0.12,0.12
12/30/2013,0.01,0.01,0.07,0.07,0.10,0.10,0.12,0.12
12/27/2013,0.00,0.00,0.07,0.07,0.09,0.09,0.11,0.11
12/26/2013,0.00,0.00,0.07,0.07,0.09,0.09,0.12,0.12
12/24/2013,0.01,0.01,0.07,0.07,0.09,0.09,0.13,0.13
12/23/2013,0.01,0.01,0.07,0.07,0.09,0.09,0.13,0.13
12/20/2013,0.01,0.01,0.07,0.07,0.09,0.09,0.13,0.13
12/19/2013,0.01,0.01,0.06,0.06,0.09,0.09,0.13,0.13
12/18/2013,0.01,0.01,0.07,0.07,0.10,0.10,0.13,0.13
12/17/2013,0.02,0.02,0.07,0.07,0.09,0.09,0.14,0.14
12/16/2013,0.01,0.01,0.07,0.07,0.09,0.09,0.13,0.13
12/13/2013,0.02,0.02,0.07,0.07,0.09,0.09,0.14,0.14
12/12/2013,0.01,0.01,0.07,0.07,0.09,0.09,0.14,0.14
12/11/2013,0.02,0.02,0.07,0.07,0.10,0.10,0.13,0.13
12/10/2013,0.03,0.03,0.07,0.07,0.10,0.10,0.14,0.14
12/09/2013,0.03,0.03,0.07,0.07,0.10,0.10,0.12,0.12
12/06/2013,0.03,0.03,0.06,0.06,0.10,0.10,0.12,0.12
12/05/2013,0.02,0.02,0.06,0.06,0.10,0.10,0.12,0.12
12/04/2013,0.04,0.04,0.06,0.06,0.10,0.10,0.13,0.13
12/03/2013,0.04,0.04,0.06,0.06,0.10,0.10,0.12,0.12
12/02/2013,0.02,0.02,0.05,0.05,0.10,0.10,0.12,0.12
11/29/2013,0.05,0.05,0.06,0.06,0.11,0.11,0.12,0.12
11/27/2013,0.06,0.06,0.07,0.07,0.11,0.11,0.12,0.12
11/26/2013,0.07,0.07,0.07,0.07,0.11,0.11,0.12,0.12
11/25/2013,0.03,0.03,0.08,0.08,0.11,0.11,0.13,0.13
11/22/2013,0.02,0.02,0.07,0.07,0.10,0.10,0.12,0.12
11/21/2013,0.02,0.02,0.07,0.07,0.10,0.10,0.12,0.12
11/20/2013,0.06,0.06,0.08,0.08,0.11,0.11,0.12,0.12
11/19/2013,0.05,0.05,0.08,0.08,0.10,0.10,0.14,0.14
11/18/2013,0.04,0.04,0.09,0.09,0.10,0.10,0.13,0.13
