Date,"4 WEEKS BANK DISCOUNT","4 WEEKS COUPON EQUIVALENT","13 WEEKS BANK DISCOUNT","13 WEEKS COUPON EQUIVALENT","26 WEEKS BANK DISCOUNT","26 WEEKS COUPON EQUIVALENT","52 WEEKS BANK DISCOUNT","52 WEEKS COUPON EQUIVALENT"
12/30/2011,0.01,0.01,0.02,0.02,0.06,0.06,0.11,0.11
12/29/2011,-0.01,-0.01,0.02,0.02,0.07,0.07,0.11,0.11
12/28/2011,0.00,0.00,0.01,0.01,0.05,0.05,0.11,0.11
12/27/2011,0.01,0.01,0.02,0.02,0.06,0.06,0.11,0.11
12/23/2011,0.00,0.00,0.01,0.01,0.04,0.04,0.11,0.11
12/22/2011,0.00,0.00,0.01,0.01,0.03,0.03,0.11,0.11
12/21/2011,-0.01,-0.01,0.01,0.01,0.04,0.04,0.12,0.12
12/20/2011,0.00,0.00,0.01,0.01,0.04,0.04,0.12,0.12
12/19/2011,-0.01,-0.01,0.01,0.01,0.04,0.04,0.11,0.11
12/16/2011,0.00,0.00,0.00,0.00,0.04,0.04,0.11,0.11
12/15/2011,0.00,0.00,0.00,0.00,0.05,0.05,0.12,0.12
12/14/2011,0.00,0.00,0.01,0.01,0.05,0.05,0.12,0.12
12/13/2011,0.00,0.00,0.01,0.01,0.06,0.06,0.11,0.11
12/12/2011,0.00,0.00,0.01,0.01,0.05,0.05,0.09,0.09
12/09/2011,0.00,0.00,0.01,0.01,0.05,0.05,0.10,0.10
12/08/2011,0.00,0.00,0.01,0.01,0.04,0.04,0.09,0.09
12/07/2011,-0.01,-0.01,0.02,0.02,0.05,0.05,0.10,0.10
12/06/2011,-0.01,-0.01,0.01,0.01,0.04,0.04,0.10,0.10
12/05/2011,0.01,0.01,0.01,0.01,0.05,0.05,0.10,0.10
12/02/2011,0.02,0.02,0.02,0.02,0.06,0.06,0.11,0.11
12/01/2011,0.02,0.02,0.01,0.01,0.05,0.05,0.11,0.11
11/30/2011,0.02,0.02,0.01,0.01,0.06,0.06,0.11,0.11
11/29/2011,0.02,0.02,0.02,0.02,0.05,0.05,0.13,0.13
11/28/2011,0.02,0.02,0.03,0.03,0.07,0.07,0.12,0.12
11/25/2011,0.02,0.02,0.02,0.02,0.07,0.07,0.12,0.12
11/23/2011,0.02,0.02,0.02,0.02,0.06,0.06,0.11,0.11
11/22/2011,0.02,0.02,0.02,0.02,0.06,0.06,0.11,0.11
11/21/2011,0.02,0.02,0.02,0.02,0.05,0.05,0.11,0.11
11/18/2011,0.02,0.02,0.01,0.01,0.04,0.04,0.12,0.12
11/17/2011,0.01,0.01,0.02,0.02,0.04,0.04,0.10,0.10
11/16/2011,0.01,0.01,0.01,0.01,0.04,0.04,0.11,0.11
11/15/2011,0.01,0.01,0.01,0.01,0.05,0.05,0.11,0.11
11/14/2011,0.01,0.01,0.01,0.01,0.04,0.04,0.08,0.08
11/10/2011,0.01,0.01,0.01,0.01,0.03,0.03,0.09,0.09
11/09/2011,0.01,0.01,0.01,0.01,0.04,0.04,0.09,0.09
11/08/2011,0.01,0.01,0.01,0.01,0.03,0.03,0.09,0.09
11/07/2011,0.01,0.01,0.01,0.01,0.04,0.04,0.08,0.08
11/04/2011,0.01,0.01,0.01,0.01,0.03,0.03,0.10,0.10
11/03/2011,0.01,0.01,0.01,0.01,0.04,0.04,0.10,0.10
11/02/2011,0.01,0.01,0.01,0.01,0.04,0.04,0.10,0.10
11/01/2011,0.01,0.01,0.01,0.01,0.05,0.05,0.12,0.12
10/31/2011,0.02,0.02,0.01,0.01,0.06,0.06,0.11,0.11
10/28/2011,0.02,0.02,0.01,0.01,0.06,0.06,0.12,0.12
10/27/2011,0.02,0.02,0.02,0.02,0.07,0.07,0.13,0.13
10/26/2011,0.01,0.01,0.02,0.02,0.06,0.06,0.12,0.12
10/25/2011,0.01,0.01,0.01,0.01,0.06,0.06,0.11,0.11
10/24/2011,0.01,0.01,0.02,0.02,0.06,0.06,0.11,0.11
10/21/2011,0.01,0.01,0.02,0.02,0.05,0.05,0.12,0.12
10/20/2011,0.02,0.02,0.03,0.03,0.06,0.06,0.12,0.12
10/19/2011,0.01,0.01,0.03,0.03,0.06,0.06,0.11,0.11
10/18/2011,0.02,0.02,0.04,0.04,0.07,0.07,0.12,0.12
10/17/2011,0.02,0.02,0.04,0.04,0.06,0.06,0.11,0.11
10/14/2011,0.02,0.02,0.02,0.02,0.06,0.06,0.10,0.10
10/13/2011,0.02,0.02,0.02,0.02,0.05,0.05,0.10,0.10
10/12/2011,0.01,0.01,0.02,0.02,0.06,0.06,0.08,0.08
10/11/2011,0.01,0.01,0.02,0.02,0.05,0.05,0.11,0.11
10/07/2011,0.01,0.01,0.01,0.01,0.04,0.04,0.10,0.10
10/06/2011,0.01,0.01,0.01,0.01,0.03,0.03,0.08,0.08
10/05/2011,0.00,0.00,0.00,0.00,0.03,0.03,0.09,0.09
10/04/2011,0.01,0.01,0.01,0.01,0.04,0.04,0.10,0.10
10/03/2011,0.01,0.01,0.02,0.02,0.06,0.06,0.11,0.11
09/30/2011,0.02,0.02,0.02,0.02,0.06,0.06,0.12,0.12
09/29/2011,-0.01,-0.01,0.02,0.02,0.05,0.05,0.10,0.10
09/28/2011,-0.01,-0.01,0.02,0.02,0.04,0.04,0.11,0.11
09/27/2011,0.00,0.00,0.01,0.01,0.04,0.04,0.10,0.10
09/26/2011,0.00,0.00,0.02,0.02,0.03,0.03,0.10,0.10
09/23/2011,0.00,0.00,0.01,0.01,0.02,0.02,0.10,0.10
09/22/2011,0.00,0.00,0.00,0.00,0.03,0.03,0.10,0.10
09/21/2011,0.01,0.01,0.01,0.01,0.04,0.04,0.11,0.11
09/20/2011,0.00,0.00,0.01,0.01,0.03,0.03,0.09,0.09
09/19/2011,-0.01,-0.01,0.01,0.01,0.04,0.04,0.07,0.07
09/16/2011,0.01,0.01,0.01,0.01,0.02,0.02,0.08,0.08
09/15/2011,0.00,0.00,0.01,0.01,0.03,0.03,0.09,0.09
09/14/2011,0.00,0.00,0.01,0.01,0.03,0.03,0.08,0.08
09/13/2011,0.00,0.00,0.01,0.01,0.05,0.05,0.09,0.09
09/12/2011,0.01,0.01,0.01,0.01,0.05,0.05,0.10,0.10
09/09/2011,0.00,0.00,0.01,0.01,0.05,0.05,0.10,0.10
09/08/2011,0.01,0.01,0.02,0.02,0.07,0.07,0.11,0.11
09/07/2011,0.00,0.00,0.02,0.02,0.06,0.06,0.10,0.10
09/06/2011,0.02,0.02,0.02,0.02,0.07,0.07,0.12,0.12
09/02/2011,0.02,0.02,0.02,0.02,0.05,0.05,0.10,0.10
09/01/2011,0.02,0.02,0.02,0.02,0.05,0.05,0.10,0.10
08/31/2011,0.01,0.01,0.02,0.02,0.05,0.05,0.10,0.10
08/30/2011,0.01,0.01,0.01,0.01,0.05,0.05,0.09,0.09
08/29/2011,0.00,0.00,0.02,0.02,0.05,0.05,0.09,0.09
08/26/2011,0.00,0.00,0.01,0.01,0.02,0.02,0.09,0.09
08/25/2011,0.01,0.01,0.01,0.01,0.03,0.03,0.10,0.10
08/24/2011,0.02,0.02,0.02,0.02,0.04,0.04,0.11,0.11
08/23/2011,0.01,0.01,0.01,0.01,0.04,0.04,0.10,0.10
08/22/2011,0.01,0.01,0.01,0.01,0.04,0.04,0.08,0.08
