Date,"4 WEEKS BANK DISCOUNT","4 WEEKS COUPON EQUIVALENT","13 WEEKS BANK DISCOUNT","13 WEEKS COUPON EQUIVALENT","26 WEEKS BANK DISCOUNT","26 WEEKS COUPON EQUIVALENT","52 WEEKS BANK DISCOUNT","52 WEEKS COUPON EQUIVALENT"
12/31/2012,0.02,0.02,0.05,0.05,0.11,0.11,0.15,0.15
12/28/2012,0.00,0.00,0.01,0.01,0.10,0.10,0.14,0.14
12/27/2012,0.01,0.01,0.08,0.08,0.12,0.12,0.14,0.14
12/26/2012,0.05,0.05,0.09,0.09,0.13,0.13,0.15,0.15
12/24/2012,0.02,0.02,0.06,0.06,0.11,0.11,0.15,0.15
12/21/2012,0.02,0.02,0.06,0.06,0.12,0.12,0.15,0.15
12/20/2012,0.02,0.02,0.06,0.06,0.10,0.10,0.15,0.15
12/19/2012,0.03,0.03,0.05,0.05,0.10,0.10,0.15,0.15
12/18/2012,0.04,0.04,0.06,0.06,0.12,0.12,0.16,0.16
12/17/2012,0.01,0.01,0.05,0.05,0.10,0.10,0.13,0.13
12/14/2012,0.01,0.01,0.04,0.04,0.09,0.09,0.13,0.13
12/13/2012,0.02,0.02,0.06,0.06,0.11,0.11,0.14,0.14
12/12/2012,0.04,0.04,0.07,0.07,0.10,0.10,0.14,0.14
12/11/2012,0.04,0.04,0.08,0.08,0.13,0.13,0.16,0.16
12/10/2012,0.05,0.05,0.09,0.09,0.14,0.14,0.17,0.17
12/07/2012,0.06,0.06,0.09,0.09,0.14,0.14,0.17,0.17
12/06/2012,0.07,0.07,0.10,0.10,0.14,0.14,0.17,0.17
12/05/2012,0.07,0.07,0.10,0.10,0.14,0.14,0.17,0.17
12/04/2012,0.07,0.07,0.10,0.10,0.15,0.15,0.17,0.17
12/03/2012,0.13,0.13,0.10,0.10,0.14,0.14,0.17,0.17
11/30/2012,0.11,0.11,0.08,0.08,0.13,0.13,0.17,0.17
11/29/2012,0.16,0.16,0.09,0.09,0.15,0.15,0.17,0.17
11/28/2012,0.17,0.17,0.10,0.10,0.14,0.14,0.17,0.17
11/27/2012,0.17,0.17,0.10,0.10,0.15,0.15,0.17,0.17
11/26/2012,0.15,0.15,0.10,0.10,0.15,0.15,0.16,0.16
11/23/2012,0.16,0.16,0.10,0.10,0.14,0.14,0.18,0.18
11/21/2012,0.17,0.17,0.10,0.10,0.14,0.14,0.17,0.17
11/20/2012,0.15,0.15,0.08,0.08,0.14,0.14,0.16,0.16
11/19/2012,0.06,0.06,0.09,0.09,0.14,0.14,0.16,0.16
11/16/2012,0.07,0.07,0.06,0.06,0.13,0.13,0.16,0.16
11/15/2012,0.13,0.13,0.08,0.08,0.14,0.14,0.17,0.17
11/14/2012,0.15,0.15,0.10,0.10,0.15,0.15,0.18,0.18
