Date,"4 WEEKS BANK DISCOUNT","4 WEEKS COUPON EQUIVALENT","13 WEEKS BANK DISCOUNT","13 WEEKS COUPON EQUIVALENT","26 WEEKS BANK DISCOUNT","26 WEEKS COUPON EQUIVALENT","52 WEEKS BANK DISCOUNT","52 WEEKS COUPON EQUIVALENT"
12/31/2002,1.18,1.20,1.20,1.22,1.21,1.23,,
12/30/2002,1.12,1.14,1.20,1.22,1.22,1.24,,
12/27/2002,1.05,1.07,1.14,1.16,1.21,1.23,,
12/26/2002,1.12,1.14,1.16,1.18,1.24,1.27,,
12/24/2002,1.15,1.17,1.17,1.19,1.24,1.27,,
12/23/2002,1.13,1.15,1.17,1.19,1.24,1.27,,
12/20/2002,1.16,1.18,1.19,1.21,1.22,1.24,,
12/19/2002,1.17,1.19,1.19,1.21,1.22,1.24,,
12/18/2002,1.18,1.20,1.19,1.21,1.24,1.27,,
12/17/2002,1.20,1.22,1.20,1.22,1.25,1.28,,
12/16/2002,1.18,1.20,1.21,1.23,1.27,1.30,,
12/13/2002,1.18,1.20,1.19,1.21,1.25,1.28,,
12/12/2002,1.18,1.20,1.19,1.21,1.24,1.27,,
12/11/2002,1.21,1.23,1.19,1.21,1.24,1.27,,
12/10/2002,1.21,1.23,1.19,1.21,1.25,1.28,,
12/09/2002,1.22,1.24,1.21,1.23,1.26,1.29,,
12/06/2002,1.21,1.23,1.19,1.21,1.24,1.26,,
12/05/2002,1.21,1.23,1.20,1.22,1.25,1.28,,
12/04/2002,1.21,1.23,1.20,1.22,1.27,1.30,,
12/03/2002,1.21,1.23,1.21,1.23,1.29,1.32,,
12/02/2002,1.24,1.26,1.22,1.24,1.29,1.32,,
11/29/2002,1.23,1.25,1.20,1.22,1.27,1.30,,
11/27/2002,1.26,1.28,1.21,1.23,1.28,1.31,,
11/26/2002,1.25,1.27,1.20,1.22,1.26,1.29,,
11/25/2002,1.22,1.24,1.22,1.24,1.28,1.31,,
11/22/2002,1.21,1.23,1.21,1.23,1.26,1.29,,
11/21/2002,1.21,1.23,1.20,1.22,1.25,1.28,,
11/20/2002,1.20,1.22,1.20,1.22,1.25,1.28,,
11/19/2002,1.21,1.23,1.19,1.21,1.25,1.28,,
11/18/2002,1.22,1.24,1.21,1.23,1.25,1.28,,
11/15/2002,1.21,1.23,1.20,1.22,1.25,1.28,,
11/14/2002,1.20,1.22,1.20,1.22,1.25,1.28,,
