Date,"4 WEEKS BANK DISCOUNT","4 WEEKS COUPON EQUIVALENT","13 WEEKS BANK DISCOUNT","13 WEEKS COUPON EQUIVALENT","26 WEEKS BANK DISCOUNT","26 WEEKS COUPON EQUIVALENT"
12/31/2004,1.84,1.87,2.18,2.22,2.52,2.59
12/30/2004,1.62,1.64,2.18,2.22,2.52,2.59
12/29/2004,1.71,1.74,2.19,2.23,2.53,2.60
12/28/2004,1.84,1.87,2.22,2.26,2.55,2.62
12/27/2004,1.82,1.85,2.24,2.28,2.56,2.63
12/23/2004,1.78,1.81,2.15,2.19,2.47,2.54
12/22/2004,1.80,1.83,2.15,2.19,2.47,2.54
12/21/2004,1.89,1.92,2.17,2.21,2.48,2.55
12/20/2004,1.91,1.94,2.19,2.23,2.48,2.55
12/17/2004,1.90,1.93,2.16,2.20,2.42,2.48
12/16/2004,1.89,1.92,2.16,2.20,2.41,2.47
12/15/2004,1.94,1.97,2.17,2.21,2.41,2.47
12/14/2004,1.98,2.01,2.18,2.22,2.42,2.48
12/13/2004,1.98,2.01,2.21,2.25,2.44,2.50
12/10/2004,2.03,2.06,2.21,2.25,2.38,2.44
12/09/2004,2.03,2.06,2.20,2.24,2.36,2.42
12/08/2004,2.04,2.07,2.20,2.24,2.36,2.42
12/07/2004,2.05,2.08,2.21,2.25,2.37,2.43
12/06/2004,2.04,2.07,2.22,2.26,2.38,2.44
12/03/2004,2.02,2.05,2.17,2.21,2.33,2.39
12/02/2004,2.02,2.05,2.18,2.22,2.35,2.41
12/01/2004,2.02,2.05,2.18,2.22,2.34,2.40
11/30/2004,2.04,2.07,2.19,2.23,2.38,2.44
11/29/2004,1.97,2.00,2.20,2.24,2.40,2.46
11/26/2004,1.97,2.00,2.16,2.20,2.34,2.40
11/24/2004,1.95,1.98,2.14,2.18,2.34,2.40
11/23/2004,1.96,1.99,2.15,2.19,2.35,2.41
11/22/2004,1.93,1.96,2.16,2.20,2.37,2.43
11/19/2004,1.94,1.97,2.10,2.14,2.30,2.36
11/18/2004,1.84,1.87,2.09,2.13,2.28,2.34
11/17/2004,1.84,1.87,2.09,2.13,2.27,2.33
11/16/2004,1.87,1.90,2.10,2.14,2.30,2.36
11/15/2004,1.87,1.90,2.09,2.13,2.29,2.35
11/12/2004,1.87,1.90,2.04,2.08,2.25,2.31
11/10/2004,1.85,1.88,2.04,2.08,2.24,2.30
11/09/2004,1.86,1.89,2.04,2.08,2.24,2.30
11/08/2004,1.83,1.86,2.04,2.08,2.25,2.31
11/05/2004,1.82,1.85,1.99,2.03,2.21,2.27
11/04/2004,1.82,1.85,1.94,1.98,2.14,2.19
11/03/2004,1.80,1.83,1.92,1.96,2.13,2.18
11/02/2004,1.83,1.86,1.94,1.98,2.14,2.19
11/01/2004,1.74,1.77,1.96,2.00,2.15,2.20
10/29/2004,1.70,1.73,1.87,1.90,2.08,2.13
10/28/2004,1.68,1.71,1.87,1.90,2.09,2.14
10/27/2004,1.75,1.78,1.88,1.92,2.08,2.13
10/26/2004,1.79,1.82,1.88,1.92,2.05,2.10
10/25/2004,1.68,1.71,1.87,1.90,2.05,2.10
10/22/2004,1.61,1.63,1.81,1.84,2.02,2.07
10/21/2004,1.60,1.62,1.81,1.84,2.01,2.06
10/20/2004,1.59,1.61,1.79,1.82,1.99,2.04
10/19/2004,1.60,1.62,1.79,1.82,2.00,2.05
10/18/2004,1.56,1.58,1.78,1.81,2.00,2.05
10/15/2004,1.56,1.58,1.72,1.75,1.95,2.00
10/14/2004,1.57,1.59,1.71,1.74,1.94,1.99
10/13/2004,1.56,1.58,1.69,1.72,1.95,2.00
10/12/2004,1.55,1.57,1.69,1.72,1.97,2.02
10/08/2004,1.53,1.55,1.67,1.70,1.96,2.01
10/07/2004,1.53,1.55,1.67,1.70,1.98,2.03
10/06/2004,1.53,1.55,1.68,1.71,1.99,2.04
10/05/2004,1.54,1.56,1.68,1.71,1.98,2.03
10/04/2004,1.50,1.52,1.69,1.72,2.00,2.05
10/01/2004,1.49,1.51,1.67,1.70,1.95,2.00
09/30/2004,1.44,1.46,1.68,1.71,1.95,2.00
09/29/2004,1.49,1.51,1.69,1.72,1.95,2.00
09/28/2004,1.60,1.62,1.69,1.72,1.95,2.00
09/27/2004,1.55,1.57,1.72,1.75,1.96,2.01
09/24/2004,1.50,1.52,1.70,1.73,1.94,1.99
09/23/2004,1.50,1.52,1.69,1.72,1.91,1.96
09/22/2004,1.50,1.52,1.68,1.71,1.89,1.93
09/21/2004,1.60,1.62,1.69,1.72,1.89,1.93
09/20/2004,1.57,1.59,1.70,1.73,1.88,1.92
09/17/2004,1.55,1.57,1.68,1.71,1.86,1.90
09/16/2004,1.52,1.54,1.64,1.67,1.83,1.87
09/15/2004,1.54,1.56,1.64,1.67,1.84,1.88
09/14/2004,1.55,1.57,1.63,1.66,1.84,1.88
09/13/2004,1.56,1.58,1.64,1.67,1.85,1.89
09/10/2004,1.58,1.60,1.63,1.66,1.83,1.87
09/09/2004,1.55,1.57,1.61,1.64,1.84,1.88
09/08/2004,1.55,1.57,1.62,1.66,1.84,1.88
09/07/2004,1.49,1.51,1.64,1.67,1.87,1.91
09/03/2004,1.46,1.48,1.62,1.65,1.83,1.87
09/02/2004,1.43,1.45,1.57,1.60,1.76,1.80
09/01/2004,1.41,1.43,1.55,1.58,1.75,1.79
08/31/2004,1.43,1.45,1.57,1.60,1.75,1.79
08/30/2004,1.41,1.43,1.59,1.62,1.79,1.83
08/27/2004,1.40,1.42,1.53,1.56,1.76,1.80
08/26/2004,1.37,1.39,1.52,1.55,1.75,1.79
08/25/2004,1.35,1.37,1.52,1.55,1.75,1.79
08/24/2004,1.37,1.39,1.52,1.55,1.76,1.80
08/23/2004,1.29,1.31,1.52,1.55,1.76,1.80
08/20/2004,1.31,1.33,1.46,1.49,1.70,1.74
08/19/2004,1.32,1.34,1.45,1.48,1.69,1.73
08/18/2004,1.35,1.37,1.46,1.49,1.70,1.74
08/17/2004,1.36,1.38,1.46,1.49,1.71,1.75
08/16/2004,1.33,1.35,1.47,1.50,1.73,1.77
08/13/2004,1.30,1.32,1.41,1.43,1.68,1.72
08/12/2004,1.29,1.31,1.41,1.43,1.69,1.73
08/11/2004,1.38,1.40,1.42,1.44,1.69,1.73
08/10/2004,1.40,1.42,1.48,1.51,1.71,1.75
