Date,"4 WEEKS BANK DISCOUNT","4 WEEKS COUPON EQUIVALENT","13 WEEKS BANK DISCOUNT","13 WEEKS COUPON EQUIVALENT","26 WEEKS BANK DISCOUNT","26 WEEKS COUPON EQUIVALENT","52 WEEKS BANK DISCOUNT","52 WEEKS COUPON EQUIVALENT"
12/31/2009,0.04,0.04,0.06,0.06,0.20,0.20,0.44,0.45
12/30/2009,0.02,0.02,0.05,0.05,0.19,0.19,0.42,0.43
12/29/2009,0.02,0.02,0.10,0.10,0.20,0.20,0.44,0.45
12/28/2009,0.02,0.02,0.11,0.11,0.20,0.20,0.44,0.45
12/24/2009,0.02,0.02,0.05,0.05,0.18,0.18,0.41,0.42
12/23/2009,0.01,0.01,0.07,0.07,0.17,0.17,0.39,0.40
12/22/2009,0.01,0.01,0.08,0.08,0.18,0.18,0.39,0.40
12/21/2009,,,0.08,0.08,0.17,0.17,0.39,0.40
12/18/2009,0.01,0.01,0.05,0.05,0.16,0.16,0.35,0.36
12/17/2009,0.01,0.01,0.04,0.04,0.15,0.15,0.34,0.35
12/16/2009,0.02,0.02,0.04,0.04,0.17,0.17,0.37,0.38
12/15/2009,0.02,0.02,0.05,0.05,0.17,0.17,0.40,0.41
12/14/2009,0.02,0.02,0.04,0.04,0.16,0.16,0.33,0.34
12/11/2009,0.01,0.01,0.03,0.03,0.16,0.16,0.32,0.33
12/10/2009,0.01,0.01,0.02,0.02,0.15,0.15,0.29,0.29
12/09/2009,0.01,0.01,0.03,0.03,0.14,0.14,0.28,0.28
12/08/2009,0.02,0.02,0.03,0.03,0.15,0.15,0.26,0.26
12/07/2009,0.08,0.08,0.04,0.04,0.16,0.16,0.29,0.29
12/04/2009,0.08,0.08,0.06,0.06,0.17,0.17,0.33,0.34
12/03/2009,0.09,0.09,0.06,0.06,0.16,0.16,0.28,0.28
12/02/2009,0.08,0.08,0.05,0.05,0.15,0.15,0.26,0.26
12/01/2009,0.09,0.09,0.06,0.06,0.15,0.15,0.24,0.24
11/30/2009,0.08,0.08,0.06,0.06,0.15,0.15,0.25,0.25
11/27/2009,0.06,0.06,0.03,0.03,0.14,0.14,0.25,0.25
11/25/2009,0.07,0.07,0.05,0.05,0.14,0.14,0.25,0.25
11/24/2009,0.06,0.06,0.05,0.05,0.14,0.14,0.27,0.27
11/23/2009,0.05,0.05,0.05,0.05,0.14,0.14,0.28,0.28
11/20/2009,0.04,0.04,0.02,0.02,0.13,0.13,0.26,0.26
11/19/2009,0.03,0.03,0.02,0.02,0.14,0.14,0.26,0.26
11/18/2009,0.04,0.04,0.04,0.04,0.15,0.15,0.29,0.29
11/17/2009,0.05,0.05,0.06,0.06,0.16,0.16,0.32,0.33
11/16/2009,0.05,0.05,0.07,0.07,0.17,0.17,0.28,0.28
11/13/2009,0.05,0.05,0.06,0.06,0.17,0.17,0.29,0.29
11/12/2009,0.06,0.06,0.07,0.07,0.16,0.16,0.29,0.29
11/10/2009,0.06,0.06,0.07,0.07,0.16,0.16,0.30,0.30
11/09/2009,0.06,0.06,0.07,0.07,0.17,0.17,0.31,0.32
11/06/2009,0.06,0.06,0.06,0.06,0.16,0.16,0.31,0.32
11/05/2009,0.06,0.06,0.04,0.04,0.16,0.16,0.33,0.34
11/04/2009,0.05,0.05,0.05,0.05,0.16,0.16,0.33,0.34
11/03/2009,0.04,0.04,0.06,0.06,0.17,0.17,0.36,0.37
11/02/2009,0.03,0.03,0.06,0.06,0.17,0.17,0.36,0.37
10/30/2009,0.01,0.01,0.05,0.05,0.16,0.16,0.35,0.36
10/29/2009,0.02,0.02,0.06,0.06,0.17,0.17,0.38,0.39
10/28/2009,0.04,0.04,0.07,0.07,0.17,0.17,0.37,0.38
10/27/2009,0.05,0.05,0.08,0.08,0.17,0.17,0.38,0.39
10/26/2009,0.04,0.04,0.08,0.08,0.18,0.18,0.40,0.41
10/23/2009,0.02,0.02,0.07,0.07,0.18,0.18,0.39,0.40
10/22/2009,0.02,0.02,0.06,0.06,0.15,0.15,0.37,0.38
10/21/2009,0.05,0.05,0.07,0.07,0.17,0.17,0.39,0.40
10/20/2009,0.05,0.05,0.08,0.08,0.17,0.17,0.38,0.39
10/19/2009,0.06,0.06,0.08,0.08,0.18,0.18,0.34,0.35
10/16/2009,0.06,0.06,0.07,0.07,0.17,0.17,0.33,0.34
10/15/2009,0.06,0.06,0.07,0.07,0.15,0.15,0.32,0.33
10/14/2009,0.05,0.05,0.07,0.07,0.15,0.15,0.32,0.33
10/13/2009,0.04,0.04,0.07,0.07,0.15,0.15,0.32,0.33
10/09/2009,0.04,0.04,0.07,0.07,0.16,0.16,0.35,0.36
10/08/2009,0.03,0.03,0.06,0.06,0.15,0.15,0.33,0.34
10/07/2009,0.06,0.06,0.09,0.09,0.14,0.14,0.32,0.33
10/06/2009,0.05,0.05,0.08,0.08,0.15,0.15,0.35,0.36
10/05/2009,0.03,0.03,0.08,0.08,0.15,0.15,0.34,0.35
10/02/2009,0.03,0.03,0.10,0.10,0.15,0.15,0.35,0.36
10/01/2009,0.03,0.03,0.10,0.10,0.15,0.15,0.35,0.36
09/30/2009,0.06,0.06,0.14,0.14,0.18,0.18,0.38,0.39
09/29/2009,0.07,0.07,0.13,0.13,0.19,0.19,0.39,0.40
09/28/2009,0.02,0.02,0.11,0.11,0.18,0.18,0.39,0.40
09/25/2009,0.03,0.03,0.10,0.10,0.20,0.20,0.40,0.41
09/24/2009,0.03,0.03,0.10,0.10,0.19,0.19,0.38,0.39
09/23/2009,0.05,0.05,0.11,0.11,0.20,0.20,0.40,0.41
09/22/2009,0.05,0.05,0.11,0.11,0.20,0.20,0.41,0.42
09/21/2009,0.04,0.04,0.11,0.11,0.20,0.20,0.36,0.37
09/18/2009,0.03,0.03,0.08,0.08,0.20,0.20,0.37,0.38
09/17/2009,0.03,0.03,0.10,0.10,0.20,0.20,0.37,0.38
09/16/2009,0.03,0.03,0.10,0.10,0.20,0.20,0.35,0.36
09/15/2009,0.05,0.05,0.13,0.13,0.21,0.21,0.36,0.37
09/14/2009,0.07,0.07,0.14,0.14,0.21,0.21,0.37,0.38
09/11/2009,0.08,0.08,0.14,0.14,0.21,0.21,0.36,0.37
09/10/2009,0.08,0.08,0.14,0.14,0.21,0.21,0.37,0.38
09/09/2009,0.09,0.09,0.14,0.14,0.22,0.22,0.38,0.39
09/08/2009,0.09,0.09,0.14,0.14,0.24,0.24,0.39,0.40
09/04/2009,0.09,0.09,0.14,0.14,0.23,0.23,0.40,0.41
09/03/2009,0.09,0.09,0.15,0.15,0.23,0.23,0.40,0.41
09/02/2009,0.09,0.09,0.14,0.14,0.22,0.22,0.39,0.40
09/01/2009,0.08,0.08,0.14,0.14,0.23,0.23,0.42,0.43
08/31/2009,0.11,0.11,0.15,0.15,0.24,0.24,0.42,0.43
08/28/2009,0.11,0.11,0.15,0.15,0.24,0.24,0.43,0.44
08/27/2009,0.11,0.11,0.15,0.15,0.25,0.25,0.45,0.46
08/26/2009,0.11,0.11,0.15,0.15,0.25,0.25,0.44,0.45
08/25/2009,0.12,0.12,0.17,0.17,0.26,0.26,0.46,0.47
08/24/2009,0.10,0.10,0.17,0.17,0.26,0.26,0.40,0.41
08/21/2009,0.10,0.10,0.17,0.17,0.25,0.25,0.41,0.42
08/20/2009,0.11,0.11,0.17,0.17,0.25,0.25,0.39,0.40
08/19/2009,0.10,0.10,0.17,0.17,0.25,0.25,0.40,0.41
08/18/2009,0.14,0.14,0.18,0.18,0.27,0.27,0.40,0.41
08/17/2009,0.10,0.10,0.18,0.18,0.27,0.27,0.42,0.43
08/14/2009,0.09,0.09,0.18,0.18,0.25,0.25,0.41,0.42
08/13/2009,0.10,0.10,0.17,0.17,0.27,0.27,0.42,0.43
08/12/2009,0.14,0.14,0.17,0.17,0.27,0.27,0.44,0.45
08/11/2009,0.14,0.14,0.18,0.18,0.28,0.28,0.46,0.47
08/10/2009,0.14,0.14,0.19,0.19,0.29,0.29,0.47,0.48
08/07/2009,0.14,0.14,0.18,0.18,0.29,0.29,0.50,0.51
08/06/2009,0.15,0.15,0.17,0.17,0.27,0.27,0.46,0.47
08/05/2009,0.15,0.15,0.18,0.18,0.28,0.28,0.47,0.48
08/04/2009,0.15,0.15,0.18,0.18,0.28,0.28,0.45,0.46
08/03/2009,0.14,0.14,0.19,0.19,0.28,0.28,0.47,0.48
07/31/2009,0.14,0.14,0.18,0.18,0.25,0.25,0.47,0.48
07/30/2009,0.14,0.14,0.18,0.18,0.26,0.26,0.47,0.48
07/29/2009,0.14,0.14,0.19,0.19,0.26,0.26,0.49,0.50
07/28/2009,0.14,0.14,0.19,0.19,0.26,0.26,0.48,0.49
07/27/2009,0.14,0.14,0.19,0.19,0.27,0.27,0.44,0.45
07/24/2009,0.15,0.15,0.18,0.18,0.28,0.28,0.43,0.44
07/23/2009,0.15,0.15,0.19,0.19,0.28,0.28,0.45,0.46
07/22/2009,0.15,0.15,0.19,0.19,0.27,0.27,0.43,0.44
07/21/2009,0.16,0.16,0.19,0.19,0.27,0.27,0.43,0.44
07/20/2009,0.15,0.15,0.19,0.19,0.28,0.28,0.44,0.45
07/17/2009,0.15,0.15,0.17,0.17,0.28,0.28,0.45,0.46
07/16/2009,0.15,0.15,0.19,0.19,0.27,0.27,0.44,0.45
07/15/2009,0.11,0.11,0.18,0.18,0.28,0.28,0.47,0.48
07/14/2009,0.15,0.15,0.18,0.18,0.28,0.28,0.45,0.46
07/13/2009,0.15,0.15,0.18,0.18,0.28,0.28,0.45,0.46
07/10/2009,0.15,0.15,0.18,0.18,0.25,0.25,0.43,0.44
07/09/2009,0.16,0.16,0.19,0.19,0.26,0.26,0.45,0.46
07/08/2009,0.15,0.15,0.18,0.18,0.26,0.26,0.43,0.44
07/07/2009,0.16,0.16,0.19,0.19,0.28,0.28,0.45,0.46
07/06/2009,0.15,0.15,0.19,0.19,0.28,0.28,0.47,0.48
07/02/2009,0.15,0.15,0.17,0.17,0.31,0.31,0.48,0.49
07/01/2009,0.13,0.13,0.17,0.17,0.32,0.32,0.53,0.54
06/30/2009,0.17,0.17,0.19,0.19,0.35,0.36,0.55,0.56
06/29/2009,0.10,0.10,0.20,0.20,0.36,0.37,0.46,0.47
06/26/2009,0.06,0.06,0.19,0.19,0.30,0.30,0.41,0.42
06/25/2009,0.06,0.06,0.18,0.18,0.30,0.30,0.43,0.44
06/24/2009,0.10,0.10,0.19,0.19,0.32,0.32,0.46,0.47
06/23/2009,0.15,0.15,0.20,0.20,0.34,0.35,0.46,0.47
06/22/2009,0.11,0.11,0.20,0.20,0.34,0.35,0.46,0.47
06/19/2009,0.10,0.10,0.18,0.18,0.32,0.32,0.48,0.49
06/18/2009,0.12,0.12,0.18,0.18,0.33,0.34,0.49,0.50
06/17/2009,0.11,0.11,0.17,0.17,0.31,0.31,0.47,0.48
06/16/2009,0.09,0.09,0.17,0.17,0.30,0.30,0.48,0.49
06/15/2009,0.07,0.07,0.17,0.17,0.29,0.29,0.48,0.49
06/12/2009,0.07,0.07,0.18,0.18,0.28,0.28,0.50,0.51
06/11/2009,0.09,0.09,0.19,0.19,0.30,0.30,0.51,0.52
06/10/2009,0.11,0.11,0.18,0.18,0.31,0.31,0.53,0.54
06/09/2009,0.09,0.09,0.19,0.19,0.31,0.31,0.54,0.55
06/08/2009,0.07,0.07,0.19,0.19,0.35,0.36,0.60,0.61
06/05/2009,0.07,0.07,0.19,0.19,0.34,0.35,0.61,0.62
06/04/2009,0.08,0.08,0.14,0.14,0.27,0.27,0.46,0.47
06/03/2009,0.08,0.08,0.14,0.14,0.26,0.26,0.44,0.45
06/02/2009,0.06,0.06,0.14,0.14,0.27,0.27,0.45,0.46
06/01/2009,0.13,0.13,0.13,0.13,0.29,0.29,0.44,0.45
05/29/2009,0.14,0.14,0.14,0.14,0.29,0.29,0.44,0.45
05/28/2009,0.14,0.14,0.15,0.15,0.30,0.30,0.45,0.46
05/27/2009,0.18,0.18,0.17,0.17,0.29,0.29,0.46,0.47
05/26/2009,0.12,0.12,0.18,0.18,0.30,0.30,0.47,0.48
05/22/2009,0.13,0.13,0.18,0.18,0.29,0.29,0.46,0.47
05/21/2009,0.13,0.13,0.19,0.19,0.29,0.29,0.43,0.44
05/20/2009,0.18,0.18,0.18,0.18,0.27,0.27,0.42,0.43
05/19/2009,0.14,0.14,0.18,0.18,0.29,0.29,0.46,0.47
05/18/2009,0.11,0.11,0.19,0.19,0.30,0.30,0.48,0.49
05/15/2009,0.11,0.11,0.17,0.17,0.28,0.28,0.48,0.49
05/14/2009,0.10,0.10,0.16,0.16,0.27,0.27,0.48,0.49
05/13/2009,0.15,0.15,0.17,0.17,0.29,0.29,0.50,0.51
05/12/2009,0.16,0.16,0.19,0.19,0.30,0.30,0.52,0.53
05/11/2009,0.16,0.16,0.19,0.19,0.30,0.30,0.51,0.52
05/08/2009,0.15,0.15,0.18,0.18,0.30,0.30,0.54,0.55
05/07/2009,0.15,0.15,0.18,0.18,0.31,0.31,0.53,0.54
05/06/2009,0.14,0.14,0.19,0.19,0.31,0.31,0.50,0.51
05/05/2009,0.14,0.14,0.19,0.19,0.33,0.34,0.52,0.53
05/04/2009,0.13,0.13,0.19,0.19,0.33,0.34,0.48,0.49
05/01/2009,0.05,0.05,0.15,0.15,0.30,0.30,0.46,0.47
04/30/2009,0.04,0.04,0.14,0.14,0.28,0.28,0.46,0.47
04/29/2009,0.04,0.04,0.11,0.11,0.28,0.28,0.47,0.48
04/28/2009,0.05,0.05,0.13,0.13,0.31,0.31,0.49,0.50
04/27/2009,0.07,0.07,0.13,0.13,0.30,0.30,0.46,0.47
04/24/2009,0.07,0.07,0.10,0.10,0.30,0.30,0.47,0.48
04/23/2009,0.08,0.08,0.10,0.10,0.30,0.30,0.46,0.47
04/22/2009,0.08,0.08,0.14,0.14,0.32,0.32,0.49,0.50
04/21/2009,0.07,0.07,0.15,0.15,0.34,0.35,0.51,0.52
04/20/2009,0.03,0.03,0.14,0.14,0.34,0.35,0.52,0.53
04/17/2009,0.04,0.04,0.14,0.14,0.35,0.36,0.55,0.56
04/16/2009,0.02,0.02,0.13,0.13,0.32,0.32,0.52,0.53
04/15/2009,0.07,0.07,0.15,0.15,0.33,0.34,0.52,0.53
04/14/2009,0.09,0.09,0.17,0.17,0.35,0.36,0.53,0.54
04/13/2009,0.12,0.12,0.18,0.18,0.37,0.38,0.56,0.57
04/09/2009,0.13,0.13,0.18,0.18,0.38,0.39,0.59,0.60
04/08/2009,0.15,0.15,0.18,0.18,0.38,0.39,0.58,0.59
04/07/2009,0.17,0.17,0.20,0.20,0.39,0.40,0.59,0.60
04/06/2009,0.16,0.16,0.20,0.20,0.40,0.41,0.56,0.57
04/03/2009,0.16,0.16,0.21,0.21,0.41,0.42,0.57,0.58
04/02/2009,0.17,0.17,0.22,0.22,0.40,0.41,0.56,0.57
04/01/2009,0.18,0.18,0.22,0.22,0.40,0.41,0.55,0.56
03/31/2009,0.17,0.17,0.21,0.21,0.42,0.43,0.55,0.56
03/30/2009,0.04,0.04,0.18,0.18,0.41,0.42,0.56,0.57
03/27/2009,0.02,0.02,0.13,0.13,0.38,0.39,0.56,0.57
03/26/2009,0.01,0.01,0.15,0.15,0.38,0.39,0.55,0.56
03/25/2009,0.02,0.02,0.19,0.19,0.40,0.41,0.58,0.59
03/24/2009,0.05,0.05,0.21,0.21,0.41,0.42,0.60,0.61
03/23/2009,0.08,0.08,0.22,0.22,0.40,0.41,0.58,0.59
03/20/2009,0.08,0.08,0.21,0.21,0.40,0.41,0.58,0.59
