Date,"4 WEEKS BANK DISCOUNT","4 WEEKS COUPON EQUIVALENT","13 WEEKS BANK DISCOUNT","13 WEEKS COUPON EQUIVALENT","26 WEEKS BANK DISCOUNT","26 WEEKS COUPON EQUIVALENT"
12/31/2007,2.61,2.66,3.29,3.37,3.37,3.49
12/28/2007,2.47,2.52,3.10,3.18,3.34,3.45
12/27/2007,2.78,2.83,3.09,3.17,3.32,3.43
12/26/2007,2.97,3.03,3.24,3.32,3.46,3.58
12/24/2007,2.61,2.66,3.26,3.34,3.45,3.57
12/21/2007,2.35,2.39,2.92,2.99,3.27,3.38
12/20/2007,2.34,2.38,2.85,2.92,3.16,3.26
12/19/2007,2.60,2.65,2.85,2.92,3.22,3.33
12/18/2007,2.70,2.75,2.98,3.05,3.26,3.37
12/17/2007,2.69,2.74,3.01,3.08,3.28,3.39
12/14/2007,2.55,2.60,2.81,2.88,3.16,3.26
12/13/2007,2.64,2.69,2.80,2.87,3.12,3.22
12/12/2007,2.84,2.89,2.81,2.88,3.10,3.20
12/11/2007,2.84,2.89,2.87,2.94,3.07,3.17
12/10/2007,2.99,3.05,2.98,3.05,3.20,3.31
12/07/2007,2.98,3.04,3.04,3.11,3.20,3.31
12/06/2007,3.03,3.09,3.02,3.09,3.18,3.29
12/05/2007,3.10,3.16,3.00,3.07,3.14,3.24
12/04/2007,3.10,3.16,3.00,3.07,3.12,3.22
12/03/2007,3.57,3.64,2.99,3.06,3.17,3.28
11/30/2007,3.60,3.67,3.08,3.15,3.26,3.37
11/29/2007,3.34,3.40,2.92,2.99,3.19,3.30
11/28/2007,3.47,3.54,2.98,3.05,3.27,3.38
11/27/2007,3.61,3.68,3.08,3.16,3.26,3.37
11/26/2007,3.53,3.60,3.06,3.14,3.23,3.34
11/23/2007,3.61,3.68,3.15,3.23,3.28,3.39
11/21/2007,3.48,3.55,3.02,3.09,3.17,3.28
11/20/2007,3.58,3.65,3.17,3.25,3.30,3.41
11/19/2007,3.72,3.79,3.32,3.40,3.43,3.55
11/16/2007,3.74,3.81,3.32,3.40,3.45,3.57
11/15/2007,3.69,3.76,3.22,3.30,3.44,3.56
11/14/2007,3.80,3.87,3.33,3.41,3.57,3.70
11/13/2007,3.71,3.78,3.41,3.50,3.63,3.76
11/09/2007,3.37,3.43,3.19,3.27,3.52,3.64
11/08/2007,3.50,3.57,3.30,3.38,3.55,3.67
11/07/2007,3.71,3.78,3.40,3.49,3.63,3.76
11/06/2007,3.91,3.99,3.66,3.76,3.76,3.90
11/05/2007,3.81,3.88,3.62,3.71,3.80,3.94
11/02/2007,3.67,3.74,3.52,3.61,3.66,3.79
11/01/2007,3.83,3.91,3.71,3.81,3.81,3.95
10/31/2007,3.93,4.01,3.84,3.94,3.94,4.09
10/30/2007,3.95,4.03,3.86,3.96,3.92,4.07
10/29/2007,3.88,3.95,3.91,4.01,3.95,4.10
10/26/2007,3.90,3.98,3.86,3.96,3.91,4.05
10/25/2007,3.84,3.92,3.84,3.94,3.88,4.02
10/24/2007,3.76,3.83,3.75,3.85,3.86,4.00
10/23/2007,3.90,3.98,3.88,3.98,3.97,4.12
10/22/2007,3.58,3.65,3.90,4.00,4.00,4.15
10/19/2007,3.35,3.41,3.75,3.85,3.93,4.07
10/18/2007,3.12,3.18,3.66,3.76,3.94,4.09
10/17/2007,3.66,3.73,3.91,4.01,4.02,4.17
10/16/2007,4.06,4.14,4.14,4.25,4.17,4.33
10/15/2007,4.16,4.24,4.19,4.31,4.23,4.39
10/12/2007,4.04,4.12,4.09,4.20,4.15,4.31
10/11/2007,3.90,3.98,4.01,4.12,4.11,4.27
10/10/2007,3.73,3.80,3.95,4.06,4.11,4.27
10/09/2007,3.59,3.66,3.96,4.07,4.12,4.28
10/05/2007,3.48,3.55,3.89,3.99,4.05,4.20
10/04/2007,3.54,3.61,3.85,3.95,4.00,4.15
10/03/2007,3.59,3.66,3.86,3.96,4.01,4.16
10/02/2007,3.55,3.62,3.86,3.96,4.01,4.16
10/01/2007,3.39,3.45,3.83,3.93,4.00,4.15
09/28/2007,3.34,3.40,3.72,3.82,3.94,4.09
09/27/2007,3.22,3.28,3.62,3.71,3.92,4.07
09/26/2007,3.18,3.24,3.64,3.74,3.91,4.06
09/25/2007,3.28,3.34,3.70,3.80,3.91,4.06
09/24/2007,3.22,3.28,3.76,3.86,3.96,4.11
09/21/2007,3.15,3.21,3.64,3.73,3.95,4.10
09/20/2007,3.38,3.45,3.69,3.79,3.96,4.11
09/19/2007,3.54,3.61,3.83,3.93,3.94,4.09
09/18/2007,3.80,3.87,3.91,4.01,3.97,4.12
09/17/2007,3.71,3.78,4.05,4.16,4.15,4.31
09/14/2007,3.77,3.84,3.90,4.00,4.07,4.22
09/13/2007,3.96,4.04,3.97,4.08,4.11,4.27
09/12/2007,3.92,4.00,3.93,4.04,4.05,4.20
09/11/2007,4.05,4.13,4.00,4.11,4.11,4.27
09/10/2007,3.86,3.93,3.86,3.96,4.05,4.20
09/07/2007,3.95,4.03,3.96,4.06,4.05,4.20
09/06/2007,4.20,4.28,4.18,4.29,4.25,4.42
09/05/2007,4.32,4.41,4.24,4.36,4.24,4.41
09/04/2007,4.48,4.57,4.35,4.47,4.35,4.52
08/31/2007,3.95,4.03,3.91,4.01,4.06,4.21
08/30/2007,3.62,3.69,3.74,3.84,4.06,4.21
08/29/2007,3.94,4.02,3.88,3.98,4.14,4.30
08/28/2007,4.51,4.60,4.28,4.40,4.31,4.48
08/27/2007,4.67,4.76,4.50,4.63,4.51,4.69
08/24/2007,4.16,4.24,4.13,4.24,4.16,4.32
08/23/2007,3.71,3.78,3.79,3.89,4.04,4.19
08/22/2007,3.04,3.10,3.58,3.67,3.93,4.08
08/21/2007,3.10,3.16,3.51,3.60,3.93,4.08
08/20/2007,2.35,2.39,3.08,3.16,4.02,4.17
08/17/2007,2.91,2.96,3.65,3.74,4.04,4.19
08/16/2007,3.03,3.09,3.69,3.79,4.07,4.22
08/15/2007,4.10,4.18,4.10,4.21,4.31,4.48
08/14/2007,4.53,4.62,4.51,4.64,4.62,4.81
08/13/2007,4.51,4.60,4.61,4.74,4.70,4.89
08/10/2007,4.28,4.36,4.44,4.56,4.62,4.81
08/09/2007,4.60,4.69,4.67,4.80,4.67,4.86
08/08/2007,4.94,5.04,4.81,4.95,4.81,5.01
08/07/2007,4.95,5.05,4.80,4.94,4.78,4.98
08/06/2007,4.83,4.93,4.74,4.88,4.72,4.92
08/03/2007,4.85,4.95,4.72,4.85,4.72,4.91
08/02/2007,4.93,5.03,4.75,4.89,4.75,4.95
08/01/2007,4.96,5.06,4.75,4.89,4.76,4.96
07/31/2007,5.03,5.13,4.82,4.96,4.79,4.99
07/30/2007,4.85,4.95,4.82,4.96,4.80,5.00
07/27/2007,4.80,4.90,4.72,4.85,4.75,4.95
07/26/2007,4.89,4.99,4.78,4.92,4.76,4.96
07/25/2007,4.94,5.04,4.85,4.99,4.85,5.05
07/24/2007,4.95,5.05,4.88,5.02,4.87,5.08
07/23/2007,4.76,4.85,4.88,5.02,4.89,5.10
07/20/2007,4.65,4.74,4.83,4.97,4.85,5.05
07/19/2007,4.67,4.76,4.84,4.98,4.86,5.06
07/18/2007,4.67,4.77,4.82,4.96,4.85,5.05
07/17/2007,4.67,4.77,4.82,4.96,4.87,5.08
07/16/2007,4.62,4.71,4.84,4.98,4.87,5.08
07/13/2007,4.61,4.70,4.83,4.97,4.85,5.05
07/12/2007,4.62,4.71,4.83,4.97,4.85,5.05
07/11/2007,4.63,4.72,4.81,4.95,4.84,5.04
07/10/2007,4.64,4.73,4.81,4.95,4.83,5.03
07/09/2007,4.54,4.63,4.83,4.97,4.85,5.05
07/06/2007,4.60,4.69,4.81,4.95,4.81,5.01
07/05/2007,4.65,4.74,4.81,4.95,4.83,5.03
07/03/2007,4.67,4.77,4.81,4.95,4.82,5.02
07/02/2007,4.40,4.49,4.81,4.95,4.82,5.02
06/29/2007,4.16,4.24,4.68,4.81,4.74,4.93
06/28/2007,3.97,4.05,4.64,4.77,4.75,4.95
06/27/2007,4.15,4.23,4.64,4.77,4.75,4.95
06/26/2007,4.44,4.53,4.69,4.83,4.81,5.01
06/25/2007,4.30,4.38,4.69,4.83,4.81,5.01
06/22/2007,4.18,4.26,4.59,4.72,4.75,4.95
06/21/2007,4.07,4.15,4.57,4.70,4.76,4.96
06/20/2007,4.33,4.42,4.61,4.74,4.77,4.97
06/19/2007,4.35,4.44,4.52,4.65,4.71,4.91
06/18/2007,4.37,4.46,4.51,4.64,4.73,4.93
06/15/2007,4.37,4.46,4.43,4.55,4.68,4.87
06/14/2007,4.42,4.51,4.52,4.65,4.73,4.93
06/13/2007,4.53,4.62,4.53,4.66,4.74,4.94
06/12/2007,4.56,4.65,4.59,4.72,4.77,4.97
06/11/2007,4.61,4.70,4.60,4.73,4.76,4.96
06/08/2007,4.67,4.76,4.64,4.77,4.74,4.93
06/07/2007,4.70,4.80,4.67,4.80,4.77,4.97
06/06/2007,4.68,4.78,4.67,4.80,4.75,4.95
06/05/2007,4.66,4.75,4.70,4.84,4.79,4.99
06/04/2007,4.69,4.78,4.68,4.81,4.79,4.99
06/01/2007,4.71,4.80,4.66,4.79,4.78,4.98
05/31/2007,4.69,4.78,4.60,4.73,4.76,4.96
05/30/2007,4.85,4.95,4.71,4.85,4.79,4.99
05/29/2007,4.87,4.97,4.76,4.90,4.80,5.00
05/25/2007,4.88,4.98,4.75,4.88,4.77,4.97
05/24/2007,4.90,5.00,4.77,4.91,4.79,4.99
05/23/2007,4.90,5.00,4.77,4.91,4.81,5.01
05/22/2007,4.91,5.01,4.79,4.93,4.82,5.02
05/21/2007,4.76,4.85,4.76,4.88,4.81,5.01
05/18/2007,4.69,4.78,4.70,4.83,4.78,4.98
