Date,"4 WEEKS BANK DISCOUNT","4 WEEKS COUPON EQUIVALENT","13 WEEKS BANK DISCOUNT","13 WEEKS COUPON EQUIVALENT","26 WEEKS BANK DISCOUNT","26 WEEKS COUPON EQUIVALENT"
12/31/2003,0.88,0.90,0.93,0.94,1.00,1.02
12/30/2003,0.86,0.87,0.92,0.94,1.00,1.02
12/29/2003,0.76,0.77,0.89,0.91,1.01,1.03
12/26/2003,0.74,0.75,0.85,0.87,0.97,0.99
12/24/2003,0.86,0.87,0.88,0.90,0.98,1.00
12/23/2003,0.87,0.89,0.88,0.90,0.98,1.00
12/22/2003,0.86,0.87,0.89,0.91,0.97,0.99
12/19/2003,0.86,0.87,0.86,0.88,0.94,0.96
12/18/2003,0.84,0.85,0.87,0.89,0.94,0.96
12/17/2003,0.83,0.84,0.88,0.90,0.97,0.99
12/16/2003,0.86,0.87,0.89,0.91,0.98,1.00
12/15/2003,0.85,0.86,0.89,0.91,0.99,1.01
12/12/2003,0.86,0.87,0.89,0.91,0.97,0.99
12/11/2003,0.86,0.87,0.88,0.90,0.97,0.99
12/10/2003,0.90,0.92,0.91,0.93,1.01,1.03
12/09/2003,0.91,0.93,0.91,0.93,1.02,1.04
12/08/2003,0.92,0.94,0.91,0.93,1.01,1.03
12/05/2003,0.92,0.94,0.90,0.92,0.99,1.01
12/04/2003,0.92,0.94,0.91,0.93,1.02,1.04
12/03/2003,0.94,0.96,0.92,0.94,1.02,1.04
12/02/2003,0.94,0.96,0.92,0.94,1.02,1.04
12/01/2003,0.95,0.97,0.93,0.95,1.04,1.06
11/28/2003,0.94,0.96,0.91,0.93,1.02,1.04
11/26/2003,0.95,0.97,0.92,0.94,1.02,1.04
11/25/2003,0.95,0.97,0.93,0.95,1.01,1.03
11/24/2003,0.92,0.94,0.94,0.96,1.02,1.04
11/21/2003,0.91,0.93,0.92,0.94,1.00,1.02
11/20/2003,0.91,0.93,0.93,0.95,0.99,1.01
11/19/2003,0.92,0.94,0.93,0.95,1.01,1.03
11/18/2003,0.93,0.95,0.94,0.96,1.02,1.04
11/17/2003,0.91,0.93,0.94,0.96,1.02,1.04
11/14/2003,0.90,0.92,0.93,0.95,1.02,1.04
11/13/2003,0.89,0.91,0.92,0.94,1.02,1.04
11/12/2003,0.90,0.92,0.93,0.95,1.04,1.06
11/10/2003,0.90,0.92,0.95,0.97,1.05,1.07
11/07/2003,0.93,0.95,0.94,0.96,1.05,1.07
11/06/2003,0.93,0.95,0.94,0.96,1.04,1.06
11/05/2003,0.94,0.96,0.94,0.96,1.03,1.05
11/04/2003,0.95,0.97,0.93,0.95,1.01,1.03
11/03/2003,0.95,0.97,0.94,0.96,1.03,1.05
10/31/2003,0.94,0.96,0.94,0.96,1.02,1.04
10/30/2003,0.95,0.97,0.94,0.96,1.02,1.04
